Index,GPS time,X,Y,Z,Lat,Lon,Alt (HAE)
121,5905,-2430518.702,-4703655.146,3545126.767,33.98384717,-117.3267455,296.523
122,5906,-2430525.143,-4703643.881,3545136.061,33.98395217,-117.3268635,295.871
123,5907,-2430531.938,-4703632.441,3545145.593,33.98405883,-117.3269857,295.358
124,5908,-2430539.032,-4703620.854,3545155.281,33.98416667,-117.3271113,294.939
125,5909,-2430546.456,-4703609.161,3545165.052,33.984275,-117.3272408,294.613
126,5910,-2430554.191,-4703597.346,3545174.822,33.984383,-117.3273738,294.314
127,5911,-2430562.132,-4703585.382,3545184.65,33.98449167,-117.3275097,294.017
128,5912,-2430570.117,-4703573.228,3545194.652,33.98460233,-117.3276468,293.695
129,5913,-2430577.962,-4703560.913,3545204.983,33.9847165,-117.3277835,293.384
130,5914,-2430585.691,-4703548.479,3545215.611,33.98483383,-117.3279195,293.107
131,5915,-2430593.424,-4703535.996,3545226.49,33.984953,-117.3280558,292.937
132,5916,-2430601.09,-4703523.42,3545237.538,33.98507417,-117.328192,292.766
133,5917,-2430608.736,-4703510.733,3545248.708,33.98519683,-117.3283287,292.575
134,5918,-2430616.459,-4703497.972,3545259.961,33.98532017,-117.3284663,292.405
135,5919,-2430624.263,-4703485.07,3545271.235,33.98544417,-117.3286053,292.174
136,5920,-2430632.086,-4703472.082,3545282.508,33.9855685,-117.3287452,291.886
137,5921,-2430639.836,-4703458.957,3545293.896,33.9856945,-117.3288848,291.533
138,5922,-2430647.503,-4703445.758,3545305.392,33.98582167,-117.3290242,291.155
139,5923,-2430655.102,-4703432.568,3545316.95,33.98594967,-117.3291627,290.793
140,5924,-2430662.542,-4703419.396,3545328.56,33.98607817,-117.3292997,290.412
141,5925,-2430669.712,-4703406.251,3545340.316,33.98620833,-117.329434,290.03
142,5926,-2430676.678,-4703393.118,3545352.189,33.98633967,-117.3295662,289.645
143,5927,-2430683.507,-4703379.99,3545364.126,33.98647183,-117.329697,289.247
144,5928,-2430690.134,-4703366.922,3545376.156,33.986605,-117.3298257,288.868
145,5929,-2430696.332,-4703354.391,3545387.831,33.986734,-117.3299475,288.524
146,5930,-2430702.209,-4703342.257,3545399.121,33.98685917,-117.3300643,288.134
147,5931,-2430707.819,-4703330.44,3545410.197,33.98698183,-117.330177,287.756
148,5932,-2430713.025,-4703319.172,3545420.81,33.98709967,-117.330283,287.371
149,5933,-2430717.701,-4703308.592,3545430.87,33.98721133,-117.3303805,286.981
150,5934,-2430721.892,-4703298.852,3545440.164,33.98731467,-117.3304692,286.598
151,5935,-2430725.489,-4703290.356,3545448.357,33.98740567,-117.330546,286.289
152,5936,-2430728.376,-4703283.36,3545455.104,33.98748067,-117.3306085,286.006
153,5937,-2430730.492,-4703278.221,3545460.073,33.987536,-117.3306545,285.804
154,5938,-2430731.851,-4703274.984,3545463.183,33.98757067,-117.3306835,285.676
155,5939,-2430732.441,-4703273.578,3545464.519,33.9875855,-117.3306962,285.611
156,5940,-2430732.831,-4703272.638,3545465.4,33.98759533,-117.3307047,285.56
157,5941,-2430733.541,-4703270.964,3545466.998,33.98761317,-117.3307198,285.49
158,5942,-2430734.908,-4703267.705,3545470.163,33.98764833,-117.3307492,285.38
159,5943,-2430736.756,-4703263.045,3545474.68,33.98769867,-117.33079,285.175
160,5944,-2430738.988,-4703257.163,3545480.474,33.98776317,-117.3308407,284.931
161,5945,-2430741.625,-4703250.118,3545487.364,33.98784,-117.3309012,284.598
162,5946,-2430744.589,-4703242.184,3545495.307,33.987928,-117.330969,284.322
163,5947,-2430747.769,-4703233.533,3545504.17,33.98802567,-117.3310425,284.115
164,5948,-2430751.117,-4703224.214,3545513.831,33.98813183,-117.331121,283.926
165,5949,-2430754.697,-4703214.215,3545524.144,33.9882455,-117.3312052,283.689
166,5950,-2430758.515,-4703203.593,3545535.091,33.988366,-117.3312947,283.438
167,5951,-2430762.427,-4703192.527,3545546.535,33.988492,-117.3313872,283.173
168,5952,-2430766.314,-4703181.325,3545558.142,33.98862,-117.3314803,282.891
169,5953,-2430770.193,-4703170.098,3545569.832,33.98874867,-117.3315733,282.633
170,5954,-2430774.068,-4703158.948,3545581.424,33.98887617,-117.331666,282.376
171,5955,-2430777.897,-4703147.992,3545592.821,33.98900167,-117.3317573,282.135
172,5956,-2430781.606,-4703137.237,3545604.05,33.98912517,-117.3318463,281.901
173,5957,-2430785.181,-4703126.706,3545615.061,33.98924633,-117.331933,281.662
174,5958,-2430788.596,-4703116.594,3545625.661,33.98936283,-117.3320162,281.438
175,5959,-2430791.918,-4703107.053,3545635.584,33.989472,-117.3320955,281.223
176,5960,-2430795.173,-4703098.123,3545644.664,33.98957233,-117.3321712,280.961
177,5961,-2430798.26,-4703089.936,3545652.755,33.98966233,-117.3322415,280.629
178,5962,-2430801.498,-4703082.196,3545660.174,33.989745,-117.3323112,280.309
179,5963,-2430804.629,-4703074.666,3545667.506,33.98982633,-117.3323787,280.052
180,5964,-2430807.462,-4703067.328,3545674.92,33.989908,-117.3324423,279.872
181,5965,-2430810.101,-4703060.206,3545682.23,33.98998833,-117.3325032,279.716
182,5966,-2430812.461,-4703054.025,3545688.576,33.990058,-117.3325565,279.61
183,5967,-2430814.697,-4703048.742,3545693.719,33.990115,-117.3326043,279.445
184,5968,-2430817.563,-4703043.813,3545697.923,33.99016183,-117.3326563,279.256
185,5969,-2430821.545,-4703039.054,3545701.285,33.990199,-117.3327182,279.146
186,5970,-2430826.842,-4703034.494,3545703.099,33.99022083,-117.3327918,278.818
187,5971,-2430833.445,-4703030.162,3545703.53,33.99022817,-117.3328768,278.382
188,5972,-2430841.216,-4703025.696,3545703.404,33.99022917,-117.3329738,277.981
189,5973,-2430849.933,-4703020.79,3545703.267,33.99023,-117.333082,277.609
190,5974,-2430859.513,-4703015.473,3545703.073,33.99023017,-117.3332005,277.232
191,5975,-2430869.851,-4703009.83,3545702.827,33.99022967,-117.3333278,276.873
